"year","code","eca","lac","ssa","lmc","umc","hic","inc","gdp2021","gdp2017","rps","leb","u5m"
1981,"UKR",1,0,0,1,0,0,0,NA,NA,37.7,69.816,21.627
1981,"URY",0,1,0,0,1,0,0,14782.1900310802,11724.7686619607,14.231,70.952,37.41
1981,"USA",0,0,0,0,0,1,1,35448.5718490494,32175.7685326472,26.11,74.117,14.247
1981,"UZB",1,0,0,1,0,0,0,NA,NA,59.23,63.223,94.418
1981,"VCT",0,1,0,1,0,0,0,5142.22946173888,4494.10892015258,63.591,68.292,50.199
1981,"VEN",0,1,0,0,1,0,0,NA,NA,20.18,68.697,42.673
1981,"VGB",0,1,0,0,0,1,1,NA,NA,75.961,69.906,33.145
1981,"VIR",0,1,0,0,0,1,1,NA,NA,18.966,68.92,26.262
1981,"VNM",0,0,0,0,0,0,0,NA,NA,80.691,65.779,68.033
1981,"VUT",0,0,0,1,0,0,0,3297.1398359591,2982.59713326916,84.88,61.95,62.521
1981,"WSM",0,0,0,1,0,0,0,3670.47630543172,3320.31780603218,78.807,65.296,41.91
1981,"XKX",1,0,0,0,1,0,0,NA,NA,53.297,60.372,169.004
1981,"YEM",0,0,0,1,0,0,0,NA,NA,83.111,51.679,196.333
1981,"ZAF",0,0,1,1,0,0,0,12469.1850533008,11740.2506252466,51.409,60.445,90.016
1981,"ZMB",0,0,1,0,0,0,0,2845.97875181204,2671.96783284633,60.146,54.986,158.534
1981,"ZWE",0,0,1,1,0,0,0,3967.89225075746,2641.96505756682,77.105,59.446,103.733
1982,"ABW",0,1,0,0,0,1,1,NA,NA,49.559,71.485,25.061
1982,"AFG",0,0,0,0,0,0,0,NA,NA,82.853,36.058,271.353
1982,"AGO",0,0,1,1,0,0,0,7575.63978862034,5858.62705666291,73.388,42.857,238.398
1982,"ALB",1,0,0,1,0,0,0,5546.28723974532,5024.68184389402,65.713,70.425,56.495
1982,"AND",1,0,0,0,0,1,1,51407.4160819473,43152.5999987343,6.526,77.617,12.688
1982,"ARE",0,0,0,0,0,1,1,205198.516972663,202729.710046672,19.534,69.056,29.378
1982,"ARG",0,1,0,0,1,0,0,19307.5638275988,15934.721466299,16.241,68.973,37.896
1982,"ARM",1,0,0,1,0,0,0,NA,NA,33.533,66.076,67.726
1982,"ASM",0,0,0,0,0,1,1,NA,NA,24.257,69.975,19.442
1982,"ATG",0,1,0,0,1,0,0,12556.9766594293,9889.83502517322,65.221,73.525,14.397
1982,"AUS",0,0,0,0,0,1,1,30936.2456722592,26795.4784068178,14.33,74.719,12.379
1982,"AUT",1,0,0,0,0,1,1,37171.8230546022,31676.1747298549,34.9,73.143,14.865
1982,"AZE",1,0,0,1,0,0,0,10030.9488510075,7304.66088790434,46.982,62.23,109.521
1982,"BDI",0,0,1,0,0,0,0,1255.75652534928,1085.10328618679,95.326,47.012,203.256
1982,"BEL",1,0,0,0,0,1,1,35393.9392562349,29784.5883605023,4.363,73.879,13.072
1982,"BEN",0,0,1,0,0,0,0,2439.65475339252,2314.62704488222,71.308,48.493,203.877
1982,"BFA",0,0,1,0,0,0,0,1014.84865371946,928.522670796632,89.909,47.633,229.296
1982,"BGD",0,0,0,0,0,0,0,1884.63917220259,1532.20140384061,83.788,53.012,194.321
1982,"BGR",1,0,0,1,0,0,0,11204.4101631232,9297.41364569605,36.896,71.078,22.514
1982,"BHR",0,0,0,0,0,1,1,47238.6989055115,44015.2362907271,13.469,71.354,29.277
1982,"BHS",0,1,0,0,0,1,1,28140.7226413881,29189.9771994566,25.429,69.682,30.975
1982,"BIH",1,0,0,0,1,0,0,NA,NA,63.393,70.076,29.815
1982,"BLR",1,0,0,0,1,0,0,NA,NA,41.336,70.784,19.253
1982,"BLZ",0,1,0,1,0,0,0,6862.37890882796,5408.19399794475,51.008,67.339,59.648
1982,"BMU",0,0,0,0,0,1,1,72628.8167207556,64528.0830814822,0,73.041,16.168
1982,"BOL",0,1,0,1,0,0,0,6300.42129936617,5560.43815791764,52.528,52.511,196.416
1982,"BRA",0,1,0,0,1,0,0,11788.0560169582,9682.81697145488,32.738,62.708,87.519
1982,"BRB",0,1,0,0,1,0,0,15006.797486145,14332.9858175097,60.446,72.903,24.637
1982,"BRN",0,0,0,0,0,1,1,158020.100194279,123382.801175081,34.751,69.669,18.599
1982,"BTN",0,0,0,0,0,0,0,2174.95115019284,1883.78274254707,88.816,49.776,180.108
1982,"BWA",0,0,1,1,0,0,0,5712.22389290723,5168.34269180478,80.511,63.382,64.855
1982,"CAF",0,0,1,0,0,0,0,1446.91766193919,1158.47509447708,65.468,50.213,184.283
1982,"CAN",0,0,0,0,0,1,1,35558.4115448254,30779.9504331345,24.126,75.692,11.106
1982,"CHE",1,0,0,0,0,1,1,56585.0028597294,49227.079611981,25.594,76.162,9.559
1982,"CHI",1,0,0,0,0,1,1,NA,NA,68.11,73.1074493841358,24.1992809672245
1982,"CHL",0,1,0,1,0,0,0,10230.0379593931,8911.20138358543,17.774,70.291,28.754
1982,"CHN",0,0,0,0,0,0,0,843.343729424284,756.003047252689,79.098,65.249,59.434
1982,"CIV",0,0,1,1,0,0,0,6862.3653746207,5792.84701246216,62.74,52.09,162.243
1982,"CMR",0,0,1,1,0,0,0,4496.95559051168,3531.0660334074,66.387,51.801,166.455
1982,"COD",0,0,1,0,0,0,0,2455.0051574516,1965.39001442016,72.417,45.946,206.417
1982,"COG",0,0,1,1,0,0,0,8004.54538608197,4825.50185756366,50.293,57.236,101.274
1982,"COL",0,1,0,1,0,0,0,9071.15352547012,7552.72846272768,34.927,67.861,52.114
1982,"COM",0,0,1,0,0,0,0,2428.62157230633,2511.50464962145,75.905,51.75,164.291
1982,"CPV",0,0,1,1,0,0,0,1348.60948185297,1299.67398177137,73.465,61.519,78.348
1982,"CRI",0,1,0,1,0,0,0,10753.5151995268,9628.20760117393,56.197,73.865,23.422
1982,"CUB",0,1,0,1,0,0,0,NA,NA,30.586,73.439,20.832
1982,"CUW",0,1,0,0,0,1,1,NA,NA,17.617,71.377,22.095
1982,"CYM",0,1,0,0,0,1,1,NA,NA,0,70.407,17.127
1982,"CYP",1,0,0,0,1,0,0,18834.2399853953,16778.3348847328,37.036,73.518,17.898
1982,"CZE",1,0,0,0,1,0,0,NA,NA,24.548,70.877,16.826
1982,"DEU",1,0,0,0,0,1,1,35884.0558165929,31113.34713841,26.893,73.628,13.314
1982,"DJI",0,0,0,1,0,0,0,NA,NA,26.058,52.893,144.698
1982,"DMA",0,1,0,1,0,0,0,7636.86160527699,5943.22205637956,50.476,71.749,22.619
1982,"DNK",1,0,0,0,0,1,1,37294.7696267376,31519.5659685313,15.975,74.597,9.748
1982,"DOM",0,1,0,1,0,0,0,6899.81608211976,5960.23360560849,46.95,64.198,88.111
1982,"DZA",0,0,0,0,1,0,0,11936.7257334577,10440.2676409027,54.697,59.594,116.79
1982,"ECU",0,1,0,1,0,0,0,9418.15710012191,7833.53122386061,51.182,64.271,81.891
1982,"EGY",0,0,0,1,0,0,0,6174.58559361083,4900.04709380211,56.11,57.219,147.542
1982,"ERI",0,0,1,0,0,0,0,NA,NA,85.245,44.891,188.004
1982,"ESP",1,0,0,0,0,1,1,25231.1183292223,22204.0551793187,26.485,76.319,13.097
1982,"EST",1,0,0,0,1,0,0,NA,NA,29.864,69.863,20.93
1982,"ETH",0,0,1,0,0,0,0,955.180791135971,861.468388545697,89.187,43.434,235.646
1982,"FIN",1,0,0,0,0,1,1,30037.9625755987,25252.3988405439,26.627,74.53,7.297
1982,"FJI",0,0,0,1,0,0,0,9328.81350294519,9135.73223094436,61.93,62.195,40.536
1982,"FRA",1,0,0,0,0,1,1,32709.21375537,27308.8829143308,26.575,74.766,11.573
1982,"FRO",1,0,0,0,0,1,1,NA,NA,68.983,75.884,13.345
1982,"FSM",0,0,0,1,0,0,0,2971.80894400749,2689.89717611295,73.65,62.747,58.222
1982,"GAB",0,0,1,0,1,0,0,27503.5249804335,20810.2648858713,41.628,58.644,112.148
1982,"GBR",1,0,0,0,0,1,1,26224.222003158,22592.9580960318,21.461,74.039,12.755
1982,"GEO",1,0,0,1,0,0,0,12844.2566541655,10851.9285145559,46.824,69.109,55.078
1982,"GHA",0,0,1,0,0,0,0,2742.41874105145,2366.00182188576,68.386,51.425,164.254
1982,"GIB",1,0,0,0,1,0,0,NA,NA,0,74.325,26.286
1982,"GIN",0,0,1,0,0,0,0,1971.96600875163,1589.92877412959,74.586,43.863,271.859
